step,episode,episode_return,episode_length,wall_clock_s
14,1,14.0,14,0.001
42,2,28.0,28,0.001
52,3,10.0,10,0.001
99,4,47.0,47,0.002
121,5,22.0,22,0.002
132,6,11.0,11,0.003
172,7,40.0,40,0.003
203,8,31.0,31,0.003
219,9,16.0,16,0.004
244,10,25.0,25,0.004
267,11,23.0,23,0.005
309,12,42.0,42,0.005
323,13,14.0,14,0.005
353,14,30.0,30,0.005
367,15,14.0,14,0.005
395,16,28.0,28,0.007
438,17,43.0,43,0.007
472,18,34.0,34,0.007
500,19,28.0,28,0.008
527,20,27.0,27,0.008
542,21,15.0,15,0.008
559,22,17.0,17,0.008
568,23,9.0,9,0.008
582,24,14.0,14,0.008
602,25,20.0,20,0.009
617,26,15.0,15,0.009
635,27,18.0,18,0.009
654,28,19.0,19,0.009
671,29,17.0,17,0.009
681,30,10.0,10,0.01
734,31,53.0,53,0.011
751,32,17.0,17,0.011
797,33,46.0,46,0.011
813,34,16.0,16,0.011
840,35,27.0,27,0.012
852,36,12.0,12,0.012
875,37,23.0,23,0.012
909,38,34.0,34,0.013
929,39,20.0,20,0.013
948,40,19.0,19,0.013
969,41,21.0,21,0.014
989,42,20.0,20,0.014
1021,43,32.0,32,0.213
1030,44,9.0,9,0.22
1053,45,23.0,23,0.243
1066,46,13.0,13,0.249
1084,47,18.0,18,0.261
1106,48,22.0,22,0.275
1121,49,15.0,15,0.283
1146,50,25.0,25,0.304
1156,51,10.0,10,0.312
1166,52,10.0,10,0.321
1180,53,14.0,14,0.333
1198,54,18.0,18,0.352
1216,55,18.0,18,0.367
1254,56,38.0,38,0.388
1288,57,34.0,34,0.413
1301,58,13.0,13,0.421
1330,59,29.0,29,0.44
1345,60,15.0,15,0.453
1362,61,17.0,17,0.466
1374,62,12.0,12,0.478
1406,63,32.0,32,0.507
1441,64,35.0,35,0.535
1465,65,24.0,24,0.557
1490,66,25.0,25,0.581
1506,67,16.0,16,0.591
1522,68,16.0,16,0.603
1535,69,13.0,13,0.609
1562,70,27.0,27,0.632
1580,71,18.0,18,0.648
1593,72,13.0,13,0.662
1609,73,16.0,16,0.675
1622,74,13.0,13,0.682
1640,75,18.0,18,0.691
1655,76,15.0,15,0.704
1665,77,10.0,10,0.715
1678,78,13.0,13,0.725
1690,79,12.0,12,0.732
1713,80,23.0,23,0.746
1739,81,26.0,26,0.761
1758,82,19.0,19,0.775
1788,83,30.0,30,0.793
1803,84,15.0,15,0.802
1818,85,15.0,15,0.815
1854,86,36.0,36,0.835
1870,87,16.0,16,0.848
1882,88,12.0,12,0.859
1894,89,12.0,12,0.868
1904,90,10.0,10,0.873
1934,91,30.0,30,0.892
1976,92,42.0,42,0.914
1999,93,23.0,23,0.929
2014,94,15.0,15,0.944
2025,95,11.0,11,0.953
2044,96,19.0,19,0.962
2067,97,23.0,23,0.977
2076,98,9.0,9,0.982
2101,99,25.0,25,0.999
2110,100,9.0,9,1.006
2122,101,12.0,12,1.017
2132,102,10.0,10,1.024
2143,103,11.0,11,1.036
2154,104,11.0,11,1.051
2181,105,27.0,27,1.072
2195,106,14.0,14,1.079
2209,107,14.0,14,1.089
2221,108,12.0,12,1.096
2244,109,23.0,23,1.107
2258,110,14.0,14,1.116
2275,111,17.0,17,1.131
2286,112,11.0,11,1.142
2296,113,10.0,10,1.151
2311,114,15.0,15,1.161
2332,115,21.0,21,1.172
2343,116,11.0,11,1.178
2354,117,11.0,11,1.185
2378,118,24.0,24,1.199
2396,119,18.0,18,1.209
2409,120,13.0,13,1.22
2420,121,11.0,11,1.229
2440,122,20.0,20,1.244
2477,123,37.0,37,1.271
2506,124,29.0,29,1.287
2520,125,14.0,14,1.297
2549,126,29.0,29,1.32
2564,127,15.0,15,1.328
2575,128,11.0,11,1.335
2606,129,31.0,31,1.355
2617,130,11.0,11,1.361
2627,131,10.0,10,1.37
2639,132,12.0,12,1.384
2651,133,12.0,12,1.391
2692,134,41.0,41,1.423
2702,135,10.0,10,1.429
2711,136,9.0,9,1.433
2725,137,14.0,14,1.443
2758,138,33.0,33,1.463
2772,139,14.0,14,1.47
2795,140,23.0,23,1.489
2808,141,13.0,13,1.501
2816,142,8.0,8,1.511
2829,143,13.0,13,1.522
2842,144,13.0,13,1.533
2868,145,26.0,26,1.558
2879,146,11.0,11,1.567
2904,147,25.0,25,1.586
2917,148,13.0,13,1.601
2951,149,34.0,34,1.628
2965,150,14.0,14,1.64
2980,151,15.0,15,1.647
3004,152,24.0,24,1.661
3036,153,32.0,32,1.681
3048,154,12.0,12,1.695
3064,155,16.0,16,1.71
3076,156,12.0,12,1.718
3086,157,10.0,10,1.726
3099,158,13.0,13,1.733
3111,159,12.0,12,1.743
3122,160,11.0,11,1.75
3140,161,18.0,18,1.761
3156,162,16.0,16,1.772
3168,163,12.0,12,1.778
3185,164,17.0,17,1.792
3207,165,22.0,22,1.805
3220,166,13.0,13,1.813
3289,167,69.0,69,1.861
3312,168,23.0,23,1.881
3330,169,18.0,18,1.9
3348,170,18.0,18,1.909
3378,171,30.0,30,1.928
3399,172,21.0,21,1.941
3420,173,21.0,21,1.957
3434,174,14.0,14,1.968
3462,175,28.0,28,1.985
3479,176,17.0,17,1.999
3497,177,18.0,18,2.013
3521,178,24.0,24,2.027
3557,179,36.0,36,2.052
3581,180,24.0,24,2.074
3600,181,19.0,19,2.085
3638,182,38.0,38,2.112
3659,183,21.0,21,2.132
3681,184,22.0,22,2.146
3693,185,12.0,12,2.158
3705,186,12.0,12,2.171
3718,187,13.0,13,2.182
3731,188,13.0,13,2.189
3745,189,14.0,14,2.199
3757,190,12.0,12,2.207
3768,191,11.0,11,2.212
3781,192,13.0,13,2.221
3792,193,11.0,11,2.228
3803,194,11.0,11,2.236
3818,195,15.0,15,2.248
3837,196,19.0,19,2.267
3847,197,10.0,10,2.273
3858,198,11.0,11,2.28
3873,199,15.0,15,2.29
3920,200,47.0,47,2.318
3932,201,12.0,12,2.324
3948,202,16.0,16,2.335
3981,203,33.0,33,2.354
4001,204,20.0,20,2.375
4014,205,13.0,13,2.387
4023,206,9.0,9,2.396
4043,207,20.0,20,2.412
4056,208,13.0,13,2.42
4065,209,9.0,9,2.427
4081,210,16.0,16,2.437
4097,211,16.0,16,2.447
4108,212,11.0,11,2.451
4128,213,20.0,20,2.469
4167,214,39.0,39,2.512
4187,215,20.0,20,2.525
4256,216,69.0,69,2.568
4287,217,31.0,31,2.589
4300,218,13.0,13,2.597
4351,219,51.0,51,2.629
4390,220,39.0,39,2.659
4431,221,41.0,41,2.69
4450,222,19.0,19,2.711
4471,223,21.0,21,2.727
4548,224,77.0,77,2.781
4586,225,38.0,38,2.814
4613,226,27.0,27,2.833
4671,227,58.0,58,2.878
4705,228,34.0,34,2.904
4851,229,146.0,146,3.034
4942,230,91.0,91,3.097
4979,231,37.0,37,3.123
4998,232,19.0,19,3.142
5025,233,27.0,27,3.16
5067,234,42.0,42,3.194
5095,235,28.0,28,3.219
5151,236,56.0,56,3.259
5167,237,16.0,16,3.269
5334,238,167.0,167,3.418
5629,239,295.0,295,3.665
5762,240,133.0,133,3.772
5816,241,54.0,54,3.809
5940,242,124.0,124,3.919
6081,243,141.0,141,4.041
6221,244,140.0,140,4.168
6459,245,238.0,238,4.352
6646,246,187.0,187,4.511
6828,247,182.0,182,4.678
6847,248,19.0,19,4.693
7007,249,160.0,160,4.825
7383,250,376.0,376,5.142
7594,251,211.0,211,5.351
7741,252,147.0,147,5.47
7898,253,157.0,157,5.609
8098,254,200.0,200,5.888
8344,255,246.0,246,6.125
8639,256,295.0,295,6.375
8901,257,262.0,262,6.618
9165,258,264.0,264,6.869
9665,259,500.0,500,7.342
9872,260,207.0,207,7.55
10193,261,321.0,321,7.846
10402,262,209.0,209,8.037
10631,263,229.0,229,8.266
10857,264,226.0,226,8.496
11011,265,154.0,154,8.657
11157,266,146.0,146,8.823
11466,267,309.0,309,9.147
11727,268,261.0,261,9.39
11923,269,196.0,196,9.589
12277,270,354.0,354,9.965
12507,271,230.0,230,10.181
12805,272,298.0,298,10.502
13066,273,261.0,261,10.748
13280,274,214.0,214,10.996
13522,275,242.0,242,11.335
13864,276,342.0,342,11.734
14155,277,291.0,291,12.068
14376,278,221.0,221,12.334
14630,279,254.0,254,12.661
14888,280,258.0,258,12.92
15112,281,224.0,224,13.143
15326,282,214.0,214,13.374
15522,283,196.0,196,13.656
15699,284,177.0,177,13.899
15921,285,222.0,222,14.179
16177,286,256.0,256,14.425
16375,287,198.0,198,14.627
16561,288,186.0,186,14.816
16770,289,209.0,209,15.025
16957,290,187.0,187,15.253
17128,291,171.0,171,15.547
17295,292,167.0,167,15.779
17451,293,156.0,156,15.94
17671,294,220.0,220,16.223
17955,295,284.0,284,16.663
18155,296,200.0,200,16.919
18316,297,161.0,161,17.129
18477,298,161.0,161,17.296
18665,299,188.0,188,17.481
18845,300,180.0,180,17.67
19038,301,193.0,193,17.855
19268,302,230.0,230,18.07
19425,303,157.0,157,18.215
19628,304,203.0,203,18.404
19797,305,169.0,169,18.569
20020,306,223.0,223,18.796
20198,307,178.0,178,18.972
20394,308,196.0,196,19.257
20575,309,181.0,181,19.485
20801,310,226.0,226,19.785
20990,311,189.0,189,20.017
21213,312,223.0,223,20.227
21392,313,179.0,179,20.389
21555,314,163.0,163,20.547
21730,315,175.0,175,20.758
21927,316,197.0,197,20.944
22073,317,146.0,146,21.094
22241,318,168.0,168,21.248
22421,319,180.0,180,21.412
22577,320,156.0,156,21.567
22731,321,154.0,154,21.698
22909,322,178.0,178,21.89
23088,323,179.0,179,22.13
23277,324,189.0,189,22.367
23312,325,35.0,35,22.405
23488,326,176.0,176,22.569
23689,327,201.0,201,22.784
23968,328,279.0,279,23.043
24160,329,192.0,192,23.231
24424,330,264.0,264,23.483
24674,331,250.0,250,23.725
24967,332,293.0,293,24.083
25261,333,294.0,294,24.468
25442,334,181.0,181,24.755
25766,335,324.0,324,25.227
25982,336,216.0,216,25.579
26184,337,202.0,202,25.85
26406,338,222.0,222,26.099
26584,339,178.0,178,26.271
26775,340,191.0,191,26.461
26985,341,210.0,210,26.669
27485,342,500.0,500,27.176
27646,343,161.0,161,27.358
27908,344,262.0,262,27.623
28119,345,211.0,211,27.857
28377,346,258.0,258,28.196
28558,347,181.0,181,28.459
28815,348,257.0,257,28.802
29001,349,186.0,186,28.972
29364,350,363.0,363,29.317
29597,351,233.0,233,29.582
29854,352,257.0,257,29.87
30066,353,212.0,212,30.072
30298,354,232.0,232,30.297
30798,355,500.0,500,30.904
31018,356,220.0,220,31.288
31205,357,187.0,187,31.549
31385,358,180.0,180,31.781
31543,359,158.0,158,31.98
31707,360,164.0,164,32.14
31847,361,140.0,140,32.279
32011,362,164.0,164,32.444
32177,363,166.0,166,32.64
32410,364,233.0,233,32.938
32564,365,154.0,154,33.099
32812,366,248.0,248,33.405
32970,367,158.0,158,33.589
33192,368,222.0,222,33.877
33462,369,270.0,270,34.323
33638,370,176.0,176,34.6
33829,371,191.0,191,34.869
34041,372,212.0,212,35.142
34319,373,278.0,278,35.483
34524,374,205.0,205,35.71
34747,375,223.0,223,35.915
34914,376,167.0,167,36.067
35101,377,187.0,187,36.249
35217,378,116.0,116,36.349
35354,379,137.0,137,36.489
35477,380,123.0,123,36.607
35604,381,127.0,127,36.716
35728,382,124.0,124,36.851
35894,383,166.0,166,37.004
36018,384,124.0,124,37.127
36263,385,245.0,245,37.343
36386,386,123.0,123,37.49
36611,387,225.0,225,37.819
36786,388,175.0,175,38.016
37040,389,254.0,254,38.254
37314,390,274.0,274,38.527
37540,391,226.0,226,38.752
37746,392,206.0,206,38.949
38039,393,293.0,293,39.238
38238,394,199.0,199,39.435
38404,395,166.0,166,39.593
38628,396,224.0,224,39.833
38795,397,167.0,167,40.054
39084,398,289.0,289,40.503
39253,399,169.0,169,40.726
39480,400,227.0,227,40.944
39635,401,155.0,155,41.093
39841,402,206.0,206,41.3
40014,403,173.0,173,41.491
40153,404,139.0,139,41.66
40287,405,134.0,134,41.784
40440,406,153.0,153,41.918
40631,407,191.0,191,42.086
40887,408,256.0,256,42.335
41077,409,190.0,190,42.556
41400,410,323.0,323,42.959
41550,411,150.0,150,43.112
41774,412,224.0,224,43.355
41905,413,131.0,131,43.491
42049,414,144.0,144,43.661
42206,415,157.0,157,43.82
42383,416,177.0,177,43.973
42635,417,252.0,252,44.214
42863,418,228.0,228,44.43
43123,419,260.0,260,44.776
43365,420,242.0,242,45.119
43496,421,131.0,131,45.313
43804,422,308.0,308,45.776
43971,423,167.0,167,45.986
44134,424,163.0,163,46.201
44248,425,114.0,114,46.366
44383,426,135.0,135,46.543
44584,427,201.0,201,46.831
44735,428,151.0,151,47.016
44885,429,150.0,150,47.169
44997,430,112.0,112,47.288
45134,431,137.0,137,47.427
45322,432,188.0,188,47.622
45506,433,184.0,184,47.789
45544,434,38.0,38,47.821
45671,435,127.0,127,47.94
45810,436,139.0,139,48.074
45964,437,154.0,154,48.209
45996,438,32.0,32,48.24
46058,439,62.0,62,48.308
46182,440,124.0,124,48.441
46305,441,123.0,123,48.565
46415,442,110.0,110,48.671
46525,443,110.0,110,48.783
46657,444,132.0,132,48.959
46773,445,116.0,116,49.146
46901,446,128.0,128,49.326
47016,447,115.0,115,49.491
47027,448,11.0,11,49.508
47140,449,113.0,113,49.666
47252,450,112.0,112,49.878
47366,451,114.0,114,50.049
47386,452,20.0,20,50.071
47496,453,110.0,110,50.225
47611,454,115.0,115,50.365
47729,455,118.0,118,50.511
47847,456,118.0,118,50.639
47861,457,14.0,14,50.656
47979,458,118.0,118,50.768
48093,459,114.0,114,50.873
48210,460,117.0,117,50.986
48318,461,108.0,108,51.105
48427,462,109.0,109,51.204
48536,463,109.0,109,51.317
48672,464,136.0,136,51.435
48789,465,117.0,117,51.549
48923,466,134.0,134,51.678
49029,467,106.0,106,51.788
49142,468,113.0,113,51.9
49255,469,113.0,113,52.007
49373,470,118.0,118,52.138
49482,471,109.0,109,52.242
49594,472,112.0,112,52.347
49709,473,115.0,115,52.478
49823,474,114.0,114,52.625
49933,475,110.0,110,52.765
49955,476,22.0,22,52.789
50063,477,108.0,108,52.934
50182,478,119.0,119,53.055
50306,479,124.0,124,53.17
50412,480,106.0,106,53.274
50524,481,112.0,112,53.377
50634,482,110.0,110,53.49
50748,483,114.0,114,53.612
50870,484,122.0,122,53.75
50882,485,12.0,12,53.761
50995,486,113.0,113,53.913
51106,487,111.0,111,54.125
51221,488,115.0,115,54.36
51337,489,116.0,116,54.523
51462,490,125.0,125,54.693
51572,491,110.0,110,54.844
51683,492,111.0,111,55.004
51811,493,128.0,128,55.232
51929,494,118.0,118,55.423
52043,495,114.0,114,55.609
52165,496,122.0,122,55.779
52288,497,123.0,123,55.982
52410,498,122.0,122,56.163
52527,499,117.0,117,56.337
52651,500,124.0,124,56.544
52773,501,122.0,122,56.76
52884,502,111.0,111,56.935
53022,503,138.0,138,57.196
53144,504,122.0,122,57.535
53262,505,118.0,118,57.755
53379,506,117.0,117,57.962
53500,507,121.0,121,58.135
53619,508,119.0,119,58.323
53741,509,122.0,122,58.544
53863,510,122.0,122,58.726
53978,511,115.0,115,58.907
54099,512,121.0,121,59.092
54221,513,122.0,122,59.261
54368,514,147.0,147,59.489
54494,515,126.0,126,59.675
54630,516,136.0,136,59.851
54757,517,127.0,127,60.017
54893,518,136.0,136,60.197
55023,519,130.0,130,60.339
55135,520,112.0,112,60.452
55254,521,119.0,119,60.575
55389,522,135.0,135,60.712
55511,523,122.0,122,60.824
55634,524,123.0,123,60.952
55756,525,122.0,122,61.094
55878,526,122.0,122,61.218
56006,527,128.0,128,61.383
56131,528,125.0,125,61.588
56336,529,205.0,205,61.845
56470,530,134.0,134,62.023
56623,531,153.0,153,62.231
56788,532,165.0,165,62.442
56953,533,165.0,165,62.695
57135,534,182.0,182,62.972
57325,535,190.0,190,63.376
57548,536,223.0,223,63.732
57731,537,183.0,183,64.191
57900,538,169.0,169,64.518
58060,539,160.0,160,64.77
58197,540,137.0,137,65.069
