step,episode,episode_return,episode_length,wall_clock_s
18,1,18.0,18,0.0
34,2,16.0,16,0.001
45,3,11.0,11,0.001
59,4,14.0,14,0.001
70,5,11.0,11,0.001
85,6,15.0,15,0.001
109,7,24.0,24,0.001
135,8,26.0,26,0.002
193,9,58.0,58,0.002
215,10,22.0,22,0.003
229,11,14.0,14,0.003
249,12,20.0,20,0.003
259,13,10.0,10,0.003
271,14,12.0,12,0.003
288,15,17.0,17,0.003
305,16,17.0,17,0.004
377,17,72.0,72,0.004
388,18,11.0,11,0.004
402,19,14.0,14,0.005
421,20,19.0,19,0.005
445,21,24.0,24,0.005
458,22,13.0,13,0.005
470,23,12.0,12,0.005
502,24,32.0,32,0.006
549,25,47.0,47,0.006
580,26,31.0,31,0.006
591,27,11.0,11,0.006
609,28,18.0,18,0.006
626,29,17.0,17,0.007
651,30,25.0,25,0.007
675,31,24.0,24,0.007
695,32,20.0,20,0.008
709,33,14.0,14,0.008
721,34,12.0,12,0.008
747,35,26.0,26,0.009
768,36,21.0,21,0.009
789,37,21.0,21,0.009
807,38,18.0,18,0.009
827,39,20.0,20,0.009
847,40,20.0,20,0.01
881,41,34.0,34,0.013
906,42,25.0,25,0.013
947,43,41.0,41,0.014
964,44,17.0,17,0.014
976,45,12.0,12,0.014
1007,46,31.0,31,0.202
1022,47,15.0,15,0.214
1034,48,12.0,12,0.223
1061,49,27.0,27,0.24
1093,50,32.0,32,0.258
1115,51,22.0,22,0.269
1126,52,11.0,11,0.277
1139,53,13.0,13,0.284
1153,54,14.0,14,0.297
1164,55,11.0,11,0.302
1178,56,14.0,14,0.312
1196,57,18.0,18,0.321
1230,58,34.0,34,0.341
1243,59,13.0,13,0.346
1261,60,18.0,18,0.36
1283,61,22.0,22,0.372
1305,62,22.0,22,0.389
1347,63,42.0,42,0.413
1381,64,34.0,34,0.434
1398,65,17.0,17,0.443
1415,66,17.0,17,0.454
1477,67,62.0,62,0.489
1488,68,11.0,11,0.494
1503,69,15.0,15,0.503
1518,70,15.0,15,0.514
1549,71,31.0,31,0.532
1562,72,13.0,13,0.54
1589,73,27.0,27,0.557
1603,74,14.0,14,0.565
1645,75,42.0,42,0.588
1663,76,18.0,18,0.598
1680,77,17.0,17,0.608
1689,78,9.0,9,0.614
1706,79,17.0,17,0.624
1731,80,25.0,25,0.64
1752,81,21.0,21,0.652
1767,82,15.0,15,0.665
1786,83,19.0,19,0.677
1797,84,11.0,11,0.683
1808,85,11.0,11,0.691
1825,86,17.0,17,0.704
1855,87,30.0,30,0.725
1873,88,18.0,18,0.739
1885,89,12.0,12,0.746
1895,90,10.0,10,0.75
1913,91,18.0,18,0.763
1934,92,21.0,21,0.775
1967,93,33.0,33,0.799
1983,94,16.0,16,0.813
2005,95,22.0,22,0.829
2027,96,22.0,22,0.84
2039,97,12.0,12,0.85
2059,98,20.0,20,0.864
2072,99,13.0,13,0.874
2110,100,38.0,38,0.9
2121,101,11.0,11,0.91
2139,102,18.0,18,0.921
2171,103,32.0,32,0.943
2179,104,8.0,8,0.948
2193,105,14.0,14,0.958
2212,106,19.0,19,0.968
2231,107,19.0,19,0.98
2263,108,32.0,32,1.004
2297,109,34.0,34,1.039
2317,110,20.0,20,1.056
2331,111,14.0,14,1.066
2346,112,15.0,15,1.076
2372,113,26.0,26,1.095
2391,114,19.0,19,1.114
2472,115,81.0,81,1.187
2491,116,19.0,19,1.202
2501,117,10.0,10,1.211
2513,118,12.0,12,1.221
2524,119,11.0,11,1.227
2534,120,10.0,10,1.235
2553,121,19.0,19,1.248
2565,122,12.0,12,1.26
2583,123,18.0,18,1.273
2597,124,14.0,14,1.289
2612,125,15.0,15,1.301
2624,126,12.0,12,1.313
2637,127,13.0,13,1.325
2648,128,11.0,11,1.333
2674,129,26.0,26,1.354
2686,130,12.0,12,1.365
2695,131,9.0,9,1.374
2709,132,14.0,14,1.388
2736,133,27.0,27,1.409
2749,134,13.0,13,1.421
2761,135,12.0,12,1.431
2798,136,37.0,37,1.46
2809,137,11.0,11,1.469
2842,138,33.0,33,1.494
2858,139,16.0,16,1.507
2870,140,12.0,12,1.517
2880,141,10.0,10,1.525
2896,142,16.0,16,1.539
2909,143,13.0,13,1.552
2928,144,19.0,19,1.565
2940,145,12.0,12,1.576
2953,146,13.0,13,1.586
2974,147,21.0,21,1.603
2998,148,24.0,24,1.627
3019,149,21.0,21,1.642
3035,150,16.0,16,1.656
3055,151,20.0,20,1.671
3069,152,14.0,14,1.682
3082,153,13.0,13,1.694
3149,154,67.0,67,1.738
3162,155,13.0,13,1.747
3183,156,21.0,21,1.763
3241,157,58.0,58,1.816
3254,158,13.0,13,1.826
3267,159,13.0,13,1.837
3279,160,12.0,12,1.847
3289,161,10.0,10,1.856
3307,162,18.0,18,1.87
3325,163,18.0,18,1.884
3347,164,22.0,22,1.898
3363,165,16.0,16,1.913
3382,166,19.0,19,1.929
3399,167,17.0,17,1.943
3417,168,18.0,18,1.961
3450,169,33.0,33,1.984
3468,170,18.0,18,1.998
3479,171,11.0,11,2.008
3492,172,13.0,13,2.02
3510,173,18.0,18,2.037
3521,174,11.0,11,2.046
3542,175,21.0,21,2.065
3564,176,22.0,22,2.085
3585,177,21.0,21,2.11
3601,178,16.0,16,2.124
3629,179,28.0,28,2.146
3677,180,48.0,48,2.181
3704,181,27.0,27,2.203
3719,182,15.0,15,2.217
3739,183,20.0,20,2.235
3751,184,12.0,12,2.245
3767,185,16.0,16,2.255
3789,186,22.0,22,2.271
3809,187,20.0,20,2.29
3832,188,23.0,23,2.306
3841,189,9.0,9,2.316
3858,190,17.0,17,2.331
3871,191,13.0,13,2.345
3880,192,9.0,9,2.352
3891,193,11.0,11,2.36
