step,episode,episode_return,episode_length,wall_clock_s
32,1,32.0,32,0.305
64,2,32.0,32,0.383
96,3,32.0,32,0.454
110,4,14.0,14,0.476
154,5,44.0,44,0.538
179,6,25.0,25,0.579
198,7,19.0,19,0.608
250,8,52.0,52,0.688
273,9,23.0,23,0.725
290,10,17.0,17,0.761
302,11,12.0,12,0.791
330,12,28.0,28,0.842
342,13,12.0,12,0.858
371,14,29.0,29,0.903
391,15,20.0,20,0.936
441,16,50.0,50,1.02
467,17,26.0,26,1.059
527,18,60.0,60,1.152
539,19,12.0,12,1.173
563,20,24.0,24,1.219
592,21,29.0,29,1.264
606,22,14.0,14,1.286
628,23,22.0,22,1.321
643,24,15.0,15,1.345
663,25,20.0,20,1.376
694,26,31.0,31,1.435
710,27,16.0,16,1.464
743,28,33.0,33,1.524
762,29,19.0,19,1.552
776,30,14.0,14,1.571
808,31,32.0,32,1.617
824,32,16.0,16,1.64
853,33,29.0,29,1.692
878,34,25.0,25,1.732
898,35,20.0,20,1.773
907,36,9.0,9,1.789
929,37,22.0,22,1.82
945,38,16.0,16,1.844
964,39,19.0,19,1.872
995,40,31.0,31,1.921
1019,41,24.0,24,1.953
1035,42,16.0,16,1.978
1063,43,28.0,28,2.028
1079,44,16.0,16,2.054
1095,45,16.0,16,2.082
1111,46,16.0,16,2.112
1129,47,18.0,18,2.147
1147,48,18.0,18,2.175
1169,49,22.0,22,2.206
1179,50,10.0,10,2.223
1274,51,95.0,95,2.395
1289,52,15.0,15,2.419
1305,53,16.0,16,2.442
1326,54,21.0,21,2.469
1340,55,14.0,14,2.491
1356,56,16.0,16,2.516
1373,57,17.0,17,2.545
1382,58,9.0,9,2.56
1398,59,16.0,16,2.587
1423,60,25.0,25,2.631
1438,61,15.0,15,2.653
1452,62,14.0,14,2.671
1531,63,79.0,79,2.803
1552,64,21.0,21,2.84
1567,65,15.0,15,2.864
1587,66,20.0,20,2.892
1606,67,19.0,19,2.92
1620,68,14.0,14,2.946
1635,69,15.0,15,2.969
1664,70,29.0,29,3.009
1673,71,9.0,9,3.025
1693,72,20.0,20,3.06
1722,73,29.0,29,3.101
1738,74,16.0,16,3.126
1766,75,28.0,28,3.172
1816,76,50.0,50,3.252
1835,77,19.0,19,3.286
1861,78,26.0,26,3.326
1877,79,16.0,16,3.353
1899,80,22.0,22,3.383
1923,81,24.0,24,3.416
1933,82,10.0,10,3.431
1960,83,27.0,27,3.478
1993,84,33.0,33,3.532
2003,85,10.0,10,3.548
2019,86,16.0,16,3.574
2031,87,12.0,12,3.594
2044,88,13.0,13,3.613
2142,89,98.0,98,6.139
2174,90,32.0,32,6.185
2248,91,74.0,74,6.304
2265,92,17.0,17,6.333
