step,episode,episode_return,episode_length,wall_clock_s
500,1,-500.0,500,0.035
1000,2,-500.0,500,0.067
1500,3,-500.0,500,0.118
2000,4,-500.0,500,0.153
2498,5,-497.0,498,0.195
2998,6,-500.0,500,0.234
3498,7,-500.0,500,0.252
3998,8,-500.0,500,0.275
4498,9,-500.0,500,0.31
4998,10,-500.0,500,0.338
5498,11,-500.0,500,1.067
5998,12,-500.0,500,1.537
6498,13,-500.0,500,2.055
6998,14,-500.0,500,2.538
7498,15,-500.0,500,2.973
7998,16,-500.0,500,3.378
8498,17,-500.0,500,3.824
8998,18,-500.0,500,4.309
9498,19,-500.0,500,4.83
9907,20,-408.0,409,5.207
10163,21,-255.0,256,5.576
10390,22,-226.0,227,5.769
10786,23,-395.0,396,6.139
11205,24,-418.0,419,6.576
11526,25,-320.0,321,6.872
11678,26,-151.0,152,7.007
11966,27,-287.0,288,7.259
12189,28,-222.0,223,7.508
12424,29,-234.0,235,7.791
12591,30,-166.0,167,7.974
12858,31,-266.0,267,8.3
13047,32,-188.0,189,8.457
13251,33,-203.0,204,8.669
13495,34,-243.0,244,8.911
13711,35,-215.0,216,9.097
13857,36,-145.0,146,9.237
14084,37,-226.0,227,9.438
14315,38,-230.0,231,9.643
14469,39,-153.0,154,9.806
14681,40,-211.0,212,10.119
14814,41,-132.0,133,10.289
14968,42,-153.0,154,10.52
15169,43,-200.0,201,10.833
15357,44,-187.0,188,11.127
15511,45,-153.0,154,11.41
15690,46,-178.0,179,11.697
15883,47,-192.0,193,11.896
16078,48,-194.0,195,12.127
16370,49,-291.0,292,12.409
16518,50,-147.0,148,12.656
16703,51,-184.0,185,12.975
16856,52,-152.0,153,13.255
17038,53,-181.0,182,13.519
17253,54,-214.0,215,13.897
17428,55,-174.0,175,14.182
17572,56,-143.0,144,14.406
17697,57,-124.0,125,14.641
17905,58,-207.0,208,14.98
17989,59,-83.0,84,15.134
18134,60,-144.0,145,15.384
18319,61,-184.0,185,15.69
18516,62,-196.0,197,16.03
18642,63,-125.0,126,16.176
18786,64,-143.0,144,16.336
18910,65,-123.0,124,16.543
19056,66,-145.0,146,16.783
19164,67,-107.0,108,16.961
19323,68,-158.0,159,17.219
19466,69,-142.0,143,17.388
19596,70,-129.0,130,17.563
19777,71,-180.0,181,17.84
19923,72,-145.0,146,18.078
20028,73,-104.0,105,18.267
20171,74,-142.0,143,18.492
20322,75,-150.0,151,18.753
20534,76,-211.0,212,19.127
20655,77,-120.0,121,19.332
20814,78,-158.0,159,19.647
20968,79,-153.0,154,19.925
21080,80,-111.0,112,20.104
21209,81,-128.0,129,20.295
21324,82,-114.0,115,20.505
21421,83,-96.0,97,20.66
21543,84,-121.0,122,20.823
21634,85,-90.0,91,20.967
21779,86,-144.0,145,21.207
21927,87,-147.0,148,21.401
22054,88,-126.0,127,21.576
22182,89,-127.0,128,21.78
22308,90,-125.0,126,21.986
22414,91,-105.0,106,22.182
22506,92,-91.0,92,22.328
22612,93,-105.0,106,22.544
22758,94,-145.0,146,22.807
23042,95,-283.0,284,23.198
23181,96,-138.0,139,23.429
23372,97,-190.0,191,23.705
23475,98,-102.0,103,23.888
23598,99,-122.0,123,24.068
23724,100,-125.0,126,24.274
23914,101,-189.0,190,24.607
24023,102,-108.0,109,24.779
24100,103,-76.0,77,24.915
24204,104,-103.0,104,25.119
24303,105,-98.0,99,25.297
24419,106,-115.0,116,25.53
24625,107,-205.0,206,25.841
24849,108,-223.0,224,26.108
24960,109,-110.0,111,26.318
25071,110,-110.0,111,26.457
25208,111,-136.0,137,26.676
25316,112,-107.0,108,26.874
25430,113,-113.0,114,27.106
25524,114,-93.0,94,27.268
25658,115,-133.0,134,27.467
25776,116,-117.0,118,27.619
25898,117,-121.0,122,27.827
25994,118,-95.0,96,27.966
26089,119,-94.0,95,28.133
26174,120,-84.0,85,28.28
26293,121,-118.0,119,28.476
26381,122,-87.0,88,28.605
26481,123,-99.0,100,28.77
26577,124,-95.0,96,28.93
26689,125,-111.0,112,29.074
26784,126,-94.0,95,29.192
26861,127,-76.0,77,29.3
26940,128,-78.0,79,29.403
27102,129,-161.0,162,29.674
27188,130,-85.0,86,29.774
27274,131,-85.0,86,29.877
27347,132,-72.0,73,29.971
27443,133,-95.0,96,30.12
27536,134,-92.0,93,30.258
27650,135,-113.0,114,30.393
27883,136,-232.0,233,30.739
28006,137,-122.0,123,30.888
28080,138,-73.0,74,30.984
28165,139,-84.0,85,31.102
28271,140,-105.0,106,31.268
28361,141,-89.0,90,31.382
28474,142,-112.0,113,31.539
28564,143,-89.0,90,31.676
28662,144,-97.0,98,31.865
28759,145,-96.0,97,32.036
28850,146,-90.0,91,32.194
28961,147,-110.0,111,32.386
29056,148,-94.0,95,32.531
29163,149,-106.0,107,32.704
29284,150,-120.0,121,32.888
29411,151,-126.0,127,33.092
29498,152,-86.0,87,33.227
29632,153,-133.0,134,33.474
29739,154,-106.0,107,33.637
29821,155,-81.0,82,33.746
29933,156,-111.0,112,33.876
30060,157,-126.0,127,34.088
30142,158,-81.0,82,34.186
30250,159,-107.0,108,34.357
30435,160,-184.0,185,34.749
30542,161,-106.0,107,34.904
30663,162,-120.0,121,35.095
30768,163,-104.0,105,35.26
30832,164,-63.0,64,35.362
31080,165,-247.0,248,35.745
31199,166,-118.0,119,35.928
31322,167,-122.0,123,36.118
31437,168,-114.0,115,36.297
31545,169,-107.0,108,36.483
31658,170,-112.0,113,36.646
31751,171,-92.0,93,36.794
31859,172,-107.0,108,36.949
31981,173,-121.0,122,37.141
32091,174,-109.0,110,37.316
32176,175,-84.0,85,37.461
32574,176,-397.0,398,38.033
32694,177,-119.0,120,38.184
32899,178,-204.0,205,38.45
32994,179,-94.0,95,38.604
33095,180,-100.0,101,38.729
33194,181,-98.0,99,38.85
33393,182,-198.0,199,39.113
33510,183,-116.0,117,39.272
33620,184,-109.0,110,39.414
33735,185,-114.0,115,39.55
33853,186,-117.0,118,39.742
33960,187,-106.0,107,39.899
34060,188,-99.0,100,40.044
34219,189,-158.0,159,40.29
34343,190,-123.0,124,40.5
34451,191,-107.0,108,40.668
