step,episode,episode_return,episode_length,wall_clock_s
14,1,14.0,14,0.0
42,2,28.0,28,0.001
52,3,10.0,10,0.001
99,4,47.0,47,0.001
121,5,22.0,22,0.002
132,6,11.0,11,0.002
172,7,40.0,40,0.002
203,8,31.0,31,0.003
219,9,16.0,16,0.003
244,10,25.0,25,0.003
267,11,23.0,23,0.004
309,12,42.0,42,0.004
323,13,14.0,14,0.004
353,14,30.0,30,0.005
367,15,14.0,14,0.005
395,16,28.0,28,0.005
438,17,43.0,43,0.006
472,18,34.0,34,0.007
500,19,28.0,28,0.007
527,20,27.0,27,0.007
542,21,15.0,15,0.008
559,22,17.0,17,0.008
568,23,9.0,9,0.008
582,24,14.0,14,0.008
602,25,20.0,20,0.008
617,26,15.0,15,0.008
635,27,18.0,18,0.008
654,28,19.0,19,0.009
671,29,17.0,17,0.009
681,30,10.0,10,0.009
734,31,53.0,53,0.01
751,32,17.0,17,0.01
797,33,46.0,46,0.011
813,34,16.0,16,0.011
840,35,27.0,27,0.011
852,36,12.0,12,0.012
875,37,23.0,23,0.012
909,38,34.0,34,0.012
929,39,20.0,20,0.013
948,40,19.0,19,0.013
969,41,21.0,21,0.021
989,42,20.0,20,0.021
1021,43,32.0,32,0.244
1030,44,9.0,9,0.249
1053,45,23.0,23,0.272
1066,46,13.0,13,0.281
1084,47,18.0,18,0.294
1106,48,22.0,22,0.312
1121,49,15.0,15,0.323
1146,50,25.0,25,0.336
1156,51,10.0,10,0.343
1166,52,10.0,10,0.353
1180,53,14.0,14,0.367
1198,54,18.0,18,0.387
1216,55,18.0,18,0.403
1254,56,38.0,38,0.439
1288,57,34.0,34,0.456
1301,58,13.0,13,0.463
1330,59,29.0,29,0.483
1345,60,15.0,15,0.492
1362,61,17.0,17,0.508
1374,62,12.0,12,0.52
1406,63,32.0,32,0.544
1441,64,35.0,35,0.571
1465,65,24.0,24,0.585
1490,66,25.0,25,0.601
1506,67,16.0,16,0.61
1522,68,16.0,16,0.623
1535,69,13.0,13,0.633
1563,70,28.0,28,0.658
1577,71,14.0,14,0.673
1591,72,14.0,14,0.687
1617,73,26.0,26,0.705
1631,74,14.0,14,0.713
1645,75,14.0,14,0.727
1658,76,13.0,13,0.739
1671,77,13.0,13,0.75
1695,78,24.0,24,0.772
1734,79,39.0,39,0.795
1746,80,12.0,12,0.802
1761,81,15.0,15,0.817
1782,82,21.0,21,0.829
1803,83,21.0,21,0.845
1815,84,12.0,12,0.856
1830,85,15.0,15,0.874
1849,86,19.0,19,0.897
1861,87,12.0,12,0.91
1899,88,38.0,38,0.939
1912,89,13.0,13,0.949
1927,90,15.0,15,0.964
1939,91,12.0,12,0.975
1958,92,19.0,19,0.987
1971,93,13.0,13,0.995
1990,94,19.0,19,1.011
2006,95,16.0,16,1.026
2017,96,11.0,11,1.037
2028,97,11.0,11,1.045
2044,98,16.0,16,1.062
2058,99,14.0,14,1.081
2087,100,29.0,29,1.111
2105,101,18.0,18,1.131
2120,102,15.0,15,1.145
2131,103,11.0,11,1.156
2145,104,14.0,14,1.172
2161,105,16.0,16,1.184
2176,106,15.0,15,1.192
2186,107,10.0,10,1.2
2236,108,50.0,50,1.238
2249,109,13.0,13,1.248
2267,110,18.0,18,1.261
2278,111,11.0,11,1.273
2288,112,10.0,10,1.279
2315,113,27.0,27,1.305
2324,114,9.0,9,1.31
2338,115,14.0,14,1.32
2353,116,15.0,15,1.329
2364,117,11.0,11,1.333
2372,118,8.0,8,1.341
2384,119,12.0,12,1.352
2407,120,23.0,23,1.371
2419,121,12.0,12,1.379
2431,122,12.0,12,1.389
2450,123,19.0,19,1.408
2474,124,24.0,24,1.422
2486,125,12.0,12,1.429
2497,126,11.0,11,1.436
2505,127,8.0,8,1.44
2518,128,13.0,13,1.448
2551,129,33.0,33,1.465
2567,130,16.0,16,1.475
2577,131,10.0,10,1.482
2599,132,22.0,22,1.495
2614,133,15.0,15,1.508
2633,134,19.0,19,1.521
2642,135,9.0,9,1.53
2652,136,10.0,10,1.537
2662,137,10.0,10,1.55
2684,138,22.0,22,1.573
2696,139,12.0,12,1.584
2713,140,17.0,17,1.596
2726,141,13.0,13,1.604
2741,142,15.0,15,1.613
2755,143,14.0,14,1.622
2767,144,12.0,12,1.629
2780,145,13.0,13,1.64
2793,146,13.0,13,1.655
2805,147,12.0,12,1.662
2815,148,10.0,10,1.669
2826,149,11.0,11,1.676
2839,150,13.0,13,1.684
2868,151,29.0,29,1.702
2882,152,14.0,14,1.718
2897,153,15.0,15,1.731
2907,154,10.0,10,1.739
2930,155,23.0,23,1.764
2940,156,10.0,10,1.775
2948,157,8.0,8,1.783
2967,158,19.0,19,1.805
2985,159,18.0,18,1.827
2994,160,9.0,9,1.837
3006,161,12.0,12,1.853
3019,162,13.0,13,1.871
3034,163,15.0,15,1.894
3048,164,14.0,14,1.908
3059,165,11.0,11,1.922
3074,166,15.0,15,1.94
3084,167,10.0,10,1.949
3098,168,14.0,14,1.971
3109,169,11.0,11,1.985
3134,170,25.0,25,2.012
3144,171,10.0,10,2.022
3154,172,10.0,10,2.036
3169,173,15.0,15,2.063
3180,174,11.0,11,2.083
3193,175,13.0,13,2.116
3205,176,12.0,12,2.135
3222,177,17.0,17,2.162
3243,178,21.0,21,2.188
3255,179,12.0,12,2.204
3265,180,10.0,10,2.22
3284,181,19.0,19,2.241
3297,182,13.0,13,2.263
3311,183,14.0,14,2.278
3323,184,12.0,12,2.292
3341,185,18.0,18,2.315
3357,186,16.0,16,2.333
3383,187,26.0,26,2.357
3402,188,19.0,19,2.376
3417,189,15.0,15,2.403
3430,190,13.0,13,2.417
3443,191,13.0,13,2.429
3454,192,11.0,11,2.441
3463,193,9.0,9,2.456
3477,194,14.0,14,2.475
3493,195,16.0,16,2.494
3510,196,17.0,17,2.513
3521,197,11.0,11,2.528
3536,198,15.0,15,2.549
3545,199,9.0,9,2.561
3557,200,12.0,12,2.574
3577,201,20.0,20,2.593
3595,202,18.0,18,2.609
3606,203,11.0,11,2.617
3624,204,18.0,18,2.628
3645,205,21.0,21,2.643
3658,206,13.0,13,2.656
3673,207,15.0,15,2.666
3685,208,12.0,12,2.673
3697,209,12.0,12,2.682
3705,210,8.0,8,2.69
3717,211,12.0,12,2.704
3728,212,11.0,11,2.715
3742,213,14.0,14,2.727
3752,214,10.0,10,2.735
3762,215,10.0,10,2.744
3783,216,21.0,21,2.764
3792,217,9.0,9,2.772
3802,218,10.0,10,2.783
3815,219,13.0,13,2.793
3832,220,17.0,17,2.815
3848,221,16.0,16,2.83
3859,222,11.0,11,2.84
3870,223,11.0,11,2.851
3879,224,9.0,9,2.857
3902,225,23.0,23,2.877
3918,226,16.0,16,2.889
3928,227,10.0,10,2.895
3939,228,11.0,11,2.902
3953,229,14.0,14,2.912
3975,230,22.0,22,2.923
3984,231,9.0,9,2.928
3995,232,11.0,11,2.938
4008,233,13.0,13,2.947
4025,234,17.0,17,2.959
4041,235,16.0,16,2.97
4055,236,14.0,14,2.976
4065,237,10.0,10,2.985
4079,238,14.0,14,2.996
4097,239,18.0,18,3.014
4106,240,9.0,9,3.025
4126,241,20.0,20,3.047
4138,242,12.0,12,3.057
4152,243,14.0,14,3.069
4170,244,18.0,18,3.09
4185,245,15.0,15,3.108
4199,246,14.0,14,3.118
4212,247,13.0,13,3.13
4222,248,10.0,10,3.143
4242,249,20.0,20,3.161
4262,250,20.0,20,3.178
4272,251,10.0,10,3.187
4284,252,12.0,12,3.193
4294,253,10.0,10,3.203
4303,254,9.0,9,3.209
4314,255,11.0,11,3.217
4325,256,11.0,11,3.224
4334,257,9.0,9,3.229
4345,258,11.0,11,3.236
4362,259,17.0,17,3.246
4375,260,13.0,13,3.261
4385,261,10.0,10,3.271
4395,262,10.0,10,3.281
4404,263,9.0,9,3.287
4415,264,11.0,11,3.299
4423,265,8.0,8,3.309
4443,266,20.0,20,3.334
4454,267,11.0,11,3.35
4469,268,15.0,15,3.365
4484,269,15.0,15,3.375
4494,270,10.0,10,3.386
4512,271,18.0,18,3.401
4526,272,14.0,14,3.412
4542,273,16.0,16,3.431
4561,274,19.0,19,3.451
4573,275,12.0,12,3.47
4583,276,10.0,10,3.482
4594,277,11.0,11,3.498
4607,278,13.0,13,3.517
4618,279,11.0,11,3.533
4636,280,18.0,18,3.555
4651,281,15.0,15,3.572
4663,282,12.0,12,3.584
4673,283,10.0,10,3.594
4686,284,13.0,13,3.605
4696,285,10.0,10,3.612
4714,286,18.0,18,3.625
4723,287,9.0,9,3.634
4739,288,16.0,16,3.645
4752,289,13.0,13,3.654
4761,290,9.0,9,3.662
4769,291,8.0,8,3.669
4782,292,13.0,13,3.68
4790,293,8.0,8,3.687
4808,294,18.0,18,3.702
4819,295,11.0,11,3.712
4829,296,10.0,10,3.72
4861,297,32.0,32,3.742
4870,298,9.0,9,3.749
4880,299,10.0,10,3.757
4895,300,15.0,15,3.768
4904,301,9.0,9,3.774
4918,302,14.0,14,3.783
4931,303,13.0,13,3.791
4944,304,13.0,13,3.8
4956,305,12.0,12,3.81
4966,306,10.0,10,3.817
4992,307,26.0,26,3.836
5006,308,14.0,14,3.848
5018,309,12.0,12,3.857
5032,310,14.0,14,3.866
5042,311,10.0,10,3.876
5058,312,16.0,16,3.891
