step,episode,episode_return,episode_length,wall_clock_s
29,1,29.0,29,0.001
39,2,10.0,10,0.001
50,3,11.0,11,0.001
86,4,36.0,36,0.002
99,5,13.0,13,0.002
115,6,16.0,16,0.002
132,7,17.0,17,0.002
151,8,19.0,19,0.002
188,9,37.0,37,0.003
215,10,27.0,27,0.003
230,11,15.0,15,0.004
243,12,13.0,13,0.004
266,13,23.0,23,0.004
276,14,10.0,10,0.004
305,15,29.0,29,0.004
323,16,18.0,18,0.004
334,17,11.0,11,0.004
345,18,11.0,11,0.004
391,19,46.0,46,0.005
402,20,11.0,11,0.005
434,21,32.0,32,0.005
481,22,47.0,47,0.006
497,23,16.0,16,0.006
523,24,26.0,26,0.006
557,25,34.0,34,0.007
573,26,16.0,16,0.007
592,27,19.0,19,0.007
614,28,22.0,22,0.007
638,29,24.0,24,0.008
653,30,15.0,15,0.008
664,31,11.0,11,0.008
681,32,17.0,17,0.008
694,33,13.0,13,0.008
724,34,30.0,30,0.009
740,35,16.0,16,0.009
806,36,66.0,66,0.01
837,37,31.0,31,0.01
855,38,18.0,18,0.011
880,39,25.0,25,0.011
899,40,19.0,19,0.011
909,41,10.0,10,0.012
936,42,27.0,27,0.012
948,43,12.0,12,0.012
960,44,12.0,12,0.013
974,45,14.0,14,0.013
991,46,17.0,17,0.013
1005,47,14.0,14,0.231
1020,48,15.0,15,0.241
1034,49,14.0,14,0.26
1045,50,11.0,11,0.268
1055,51,10.0,10,0.274
1070,52,15.0,15,0.284
1086,53,16.0,16,0.297
1101,54,15.0,15,0.309
1114,55,13.0,13,0.319
1124,56,10.0,10,0.325
1147,57,23.0,23,0.342
1159,58,12.0,12,0.348
1217,59,58.0,58,0.4
1236,60,19.0,19,0.412
1273,61,37.0,37,0.441
1288,62,15.0,15,0.452
1309,63,21.0,21,0.475
1329,64,20.0,20,0.489
1339,65,10.0,10,0.496
1351,66,12.0,12,0.505
1368,67,17.0,17,0.518
1380,68,12.0,12,0.528
1394,69,14.0,14,0.545
1425,70,31.0,31,0.573
1450,71,25.0,25,0.59
1462,72,12.0,12,0.6
1475,73,13.0,13,0.609
1497,74,22.0,22,0.628
1522,75,25.0,25,0.649
1537,76,15.0,15,0.661
1564,77,27.0,27,0.682
1576,78,12.0,12,0.69
1589,79,13.0,13,0.701
1602,80,13.0,13,0.713
1612,81,10.0,10,0.72
1638,82,26.0,26,0.745
1655,83,17.0,17,0.758
1666,84,11.0,11,0.77
1690,85,24.0,24,0.79
1703,86,13.0,13,0.798
1719,87,16.0,16,0.81
1751,88,32.0,32,0.837
1765,89,14.0,14,0.85
1780,90,15.0,15,0.86
1793,91,13.0,13,0.874
1808,92,15.0,15,0.886
1824,93,16.0,16,0.899
1834,94,10.0,10,0.907
1850,95,16.0,16,0.918
1861,96,11.0,11,0.928
1876,97,15.0,15,0.938
1891,98,15.0,15,0.949
1910,99,19.0,19,0.962
1921,100,11.0,11,0.975
1934,101,13.0,13,0.986
1944,102,10.0,10,0.992
1971,103,27.0,27,1.01
1995,104,24.0,24,1.028
2027,105,32.0,32,1.053
2041,106,14.0,14,1.065
2052,107,11.0,11,1.074
2061,108,9.0,9,1.088
2088,109,27.0,27,1.109
2122,110,34.0,34,1.137
2132,111,10.0,10,1.145
