step,episode,episode_return,episode_length,wall_clock_s
18,1,18.0,18,0.004
34,2,16.0,16,0.004
45,3,11.0,11,0.004
59,4,14.0,14,0.005
70,5,11.0,11,0.005
85,6,15.0,15,0.005
109,7,24.0,24,0.006
135,8,26.0,26,0.007
193,9,58.0,58,0.008
215,10,22.0,22,0.009
229,11,14.0,14,0.009
249,12,20.0,20,0.01
259,13,10.0,10,0.01
271,14,12.0,12,0.01
288,15,17.0,17,0.011
305,16,17.0,17,0.011
377,17,72.0,72,0.013
388,18,11.0,11,0.013
402,19,14.0,14,0.013
421,20,19.0,19,0.013
445,21,24.0,24,0.014
458,22,13.0,13,0.014
470,23,12.0,12,0.014
502,24,32.0,32,0.015
549,25,47.0,47,0.016
580,26,31.0,31,0.016
591,27,11.0,11,0.017
609,28,18.0,18,0.017
626,29,17.0,17,0.017
651,30,25.0,25,0.017
675,31,24.0,24,0.018
695,32,20.0,20,0.018
709,33,14.0,14,0.018
721,34,12.0,12,0.018
747,35,26.0,26,0.019
768,36,21.0,21,0.019
789,37,21.0,21,0.019
807,38,18.0,18,0.02
827,39,20.0,20,0.02
847,40,20.0,20,0.021
881,41,34.0,34,0.021
906,42,25.0,25,0.022
947,43,41.0,41,0.022
964,44,17.0,17,0.022
976,45,12.0,12,0.023
1007,46,31.0,31,0.781
1022,47,15.0,15,0.795
1034,48,12.0,12,0.807
1061,49,27.0,27,0.83
1093,50,32.0,32,0.855
1115,51,22.0,22,0.872
1126,52,11.0,11,0.884
1139,53,13.0,13,0.895
1153,54,14.0,14,0.91
1164,55,11.0,11,0.916
1178,56,14.0,14,0.929
1196,57,18.0,18,0.945
1230,58,34.0,34,0.974
1243,59,13.0,13,0.985
1261,60,18.0,18,1.004
1283,61,22.0,22,1.031
1305,62,22.0,22,1.072
1347,63,42.0,42,1.128
1381,64,34.0,34,1.169
1398,65,17.0,17,1.196
1415,66,17.0,17,1.227
1477,67,62.0,62,1.316
1488,68,11.0,11,1.328
1503,69,15.0,15,1.347
1518,70,15.0,15,1.374
1549,71,31.0,31,1.412
1562,72,13.0,13,1.431
1589,73,27.0,27,1.472
1603,74,14.0,14,1.488
1645,75,42.0,42,1.562
1663,76,18.0,18,1.586
1680,77,17.0,17,1.614
1689,78,9.0,9,1.632
1706,79,17.0,17,1.674
1731,80,25.0,25,1.715
1752,81,21.0,21,1.746
1767,82,15.0,15,1.775
1786,83,19.0,19,1.794
1797,84,11.0,11,1.816
1808,85,11.0,11,1.834
1825,86,17.0,17,1.866
1855,87,30.0,30,1.901
1873,88,18.0,18,1.928
1885,89,12.0,12,1.94
1895,90,10.0,10,1.958
1913,91,18.0,18,1.975
1934,92,21.0,21,1.993
1967,93,33.0,33,2.044
1983,94,16.0,16,2.052
2005,95,22.0,22,2.097
2027,96,22.0,22,2.127
2039,97,12.0,12,2.147
2059,98,20.0,20,2.186
2072,99,13.0,13,2.209
2110,100,38.0,38,2.268
2121,101,11.0,11,2.284
2139,102,18.0,18,2.305
2171,103,32.0,32,2.346
2179,104,8.0,8,2.354
2193,105,14.0,14,2.364
2212,106,19.0,19,2.385
2231,107,19.0,19,2.403
2263,108,32.0,32,2.438
2297,109,34.0,34,2.489
2317,110,20.0,20,2.523
2331,111,14.0,14,2.535
2346,112,15.0,15,2.545
2372,113,26.0,26,2.579
2391,114,19.0,19,2.595
2472,115,81.0,81,2.701
2491,116,19.0,19,2.717
2501,117,10.0,10,2.735
2513,118,12.0,12,2.753
2524,119,11.0,11,2.763
2534,120,10.0,10,2.778
2553,121,19.0,19,2.802
2565,122,12.0,12,2.816
2583,123,18.0,18,2.843
2597,124,14.0,14,2.858
2612,125,15.0,15,2.88
2624,126,12.0,12,2.896
2637,127,13.0,13,2.904
2648,128,11.0,11,2.922
2674,129,26.0,26,2.956
2686,130,12.0,12,2.967
2695,131,9.0,9,2.983
2709,132,14.0,14,3.01
2736,133,27.0,27,3.044
2749,134,13.0,13,3.065
2761,135,12.0,12,3.077
2798,136,37.0,37,3.109
2809,137,11.0,11,3.136
2842,138,33.0,33,3.172
2858,139,16.0,16,3.19
2870,140,12.0,12,3.203
2880,141,10.0,10,3.218
2896,142,16.0,16,3.235
2909,143,13.0,13,3.264
2928,144,19.0,19,3.291
2940,145,12.0,12,3.31
2953,146,13.0,13,3.334
2974,147,21.0,21,3.359
2998,148,24.0,24,3.392
3019,149,21.0,21,3.421
3035,150,16.0,16,3.435
3055,151,20.0,20,3.474
3069,152,14.0,14,3.494
3082,153,13.0,13,3.512
3149,154,67.0,67,3.608
3162,155,13.0,13,3.623
3183,156,21.0,21,3.645
3241,157,58.0,58,3.721
3254,158,13.0,13,3.735
3267,159,13.0,13,3.755
3279,160,12.0,12,3.775
3289,161,10.0,10,3.795
3307,162,18.0,18,3.824
3325,163,18.0,18,3.861
3347,164,22.0,22,3.901
3363,165,16.0,16,3.918
3382,166,19.0,19,3.947
3399,167,17.0,17,3.978
3417,168,18.0,18,4.003
3450,169,33.0,33,4.054
3468,170,18.0,18,4.079
3479,171,11.0,11,4.1
3492,172,13.0,13,4.11
3510,173,18.0,18,4.148
