step,episode,episode_return,episode_length,wall_clock_s
18,1,18.0,18,0.003
34,2,16.0,16,0.004
45,3,11.0,11,0.004
59,4,14.0,14,0.004
70,5,11.0,11,0.004
85,6,15.0,15,0.004
109,7,24.0,24,0.005
135,8,26.0,26,0.005
193,9,58.0,58,0.006
215,10,22.0,22,0.006
229,11,14.0,14,0.006
249,12,20.0,20,0.007
259,13,10.0,10,0.007
271,14,12.0,12,0.007
288,15,17.0,17,0.007
305,16,17.0,17,0.007
377,17,72.0,72,0.008
388,18,11.0,11,0.008
402,19,14.0,14,0.009
421,20,19.0,19,0.009
445,21,24.0,24,0.009
458,22,13.0,13,0.009
470,23,12.0,12,0.01
502,24,32.0,32,0.01
549,25,47.0,47,0.011
580,26,31.0,31,0.011
591,27,11.0,11,0.011
609,28,18.0,18,0.011
626,29,17.0,17,0.012
651,30,25.0,25,0.012
675,31,24.0,24,0.012
695,32,20.0,20,0.012
709,33,14.0,14,0.013
721,34,12.0,12,0.013
747,35,26.0,26,0.013
768,36,21.0,21,0.013
789,37,21.0,21,0.014
807,38,18.0,18,0.014
827,39,20.0,20,0.014
847,40,20.0,20,0.014
881,41,34.0,34,0.015
906,42,25.0,25,0.016
947,43,41.0,41,0.016
964,44,17.0,17,0.016
976,45,12.0,12,0.016
1007,46,31.0,31,0.591
1022,47,15.0,15,0.603
1034,48,12.0,12,0.612
1061,49,27.0,27,0.63
1093,50,32.0,32,0.654
1115,51,22.0,22,0.67
1126,52,11.0,11,0.678
1139,53,13.0,13,0.689
1153,54,14.0,14,0.701
1164,55,11.0,11,0.709
1178,56,14.0,14,0.723
1196,57,18.0,18,0.736
1242,58,46.0,46,0.772
1260,59,18.0,18,0.783
1295,60,35.0,35,0.806
1306,61,11.0,11,0.814
1337,62,31.0,31,0.841
1353,63,16.0,16,0.851
1365,64,12.0,12,0.859
1375,65,10.0,10,0.866
1390,66,15.0,15,0.881
1404,67,14.0,14,0.892
1425,68,21.0,21,0.909
1464,69,39.0,39,0.932
1479,70,15.0,15,0.944
1492,71,13.0,13,0.952
1505,72,13.0,13,0.963
1516,73,11.0,11,0.968
1532,74,16.0,16,0.979
1552,75,20.0,20,0.992
1567,76,15.0,15,1.004
1586,77,19.0,19,1.018
1601,78,15.0,15,1.031
1617,79,16.0,16,1.044
1652,80,35.0,35,1.066
1664,81,12.0,12,1.075
1676,82,12.0,12,1.084
1691,83,15.0,15,1.094
1707,84,16.0,16,1.103
1727,85,20.0,20,1.116
1744,86,17.0,17,1.127
1757,87,13.0,13,1.14
1767,88,10.0,10,1.147
1789,89,22.0,22,1.165
1800,90,11.0,11,1.172
1811,91,11.0,11,1.183
1826,92,15.0,15,1.201
1850,93,24.0,24,1.224
1868,94,18.0,18,1.239
1880,95,12.0,12,1.248
1891,96,11.0,11,1.257
1902,97,11.0,11,1.267
1918,98,16.0,16,1.282
1933,99,15.0,15,1.293
1959,100,26.0,26,1.313
1970,101,11.0,11,1.325
1985,102,15.0,15,1.334
1998,103,13.0,13,1.347
2017,104,19.0,19,1.364
2033,105,16.0,16,1.379
2044,106,11.0,11,1.387
2060,107,16.0,16,1.402
2073,108,13.0,13,1.413
2098,109,25.0,25,1.43
2112,110,14.0,14,1.441
2123,111,11.0,11,1.452
2173,112,50.0,50,1.493
2183,113,10.0,10,1.499
2197,114,14.0,14,1.511
2208,115,11.0,11,1.516
2227,116,19.0,19,1.531
2241,117,14.0,14,1.543
2255,118,14.0,14,1.553
2265,119,10.0,10,1.562
2292,120,27.0,27,1.583
2305,121,13.0,13,1.597
2319,122,14.0,14,1.61
2335,123,16.0,16,1.622
2352,124,17.0,17,1.636
2368,125,16.0,16,1.651
2383,126,15.0,15,1.666
2394,127,11.0,11,1.675
2429,128,35.0,35,1.704
2447,129,18.0,18,1.718
2458,130,11.0,11,1.726
2481,131,23.0,23,1.745
2508,132,27.0,27,1.767
2521,133,13.0,13,1.782
2530,134,9.0,9,1.788
2543,135,13.0,13,1.799
2556,136,13.0,13,1.806
2567,137,11.0,11,1.817
2579,138,12.0,12,1.83
2592,139,13.0,13,1.842
2605,140,13.0,13,1.855
2618,141,13.0,13,1.876
2628,142,10.0,10,1.882
2643,143,15.0,15,1.892
2654,144,11.0,11,1.901
2677,145,23.0,23,1.915
2686,146,9.0,9,1.921
2696,147,10.0,10,1.927
2713,148,17.0,17,1.942
2747,149,34.0,34,1.969
2759,150,12.0,12,1.976
2820,151,61.0,61,2.012
2839,152,19.0,19,2.023
2854,153,15.0,15,2.032
2875,154,21.0,21,2.047
2886,155,11.0,11,2.054
2895,156,9.0,9,2.058
2916,157,21.0,21,2.071
2930,158,14.0,14,2.079
2945,159,15.0,15,2.089
2956,160,11.0,11,2.096
2972,161,16.0,16,2.107
2997,162,25.0,25,2.125
3023,163,26.0,26,2.14
3053,164,30.0,30,2.158
3079,165,26.0,26,2.172
3108,166,29.0,29,2.188
3130,167,22.0,22,2.201
3152,168,22.0,22,2.212
3163,169,11.0,11,2.219
3203,170,40.0,40,2.242
3222,171,19.0,19,2.254
3235,172,13.0,13,2.262
3245,173,10.0,10,2.268
3256,174,11.0,11,2.273
3270,175,14.0,14,2.283
3286,176,16.0,16,2.295
3305,177,19.0,19,2.31
3322,178,17.0,17,2.32
3346,179,24.0,24,2.334
3368,180,22.0,22,2.348
3383,181,15.0,15,2.356
3398,182,15.0,15,2.364
3420,183,22.0,22,2.377
3433,184,13.0,13,2.389
3478,185,45.0,45,2.413
3490,186,12.0,12,2.42
3513,187,23.0,23,2.437
3526,188,13.0,13,2.444
3535,189,9.0,9,2.448
3587,190,52.0,52,2.479
3608,191,21.0,21,2.493
3626,192,18.0,18,2.508
3638,193,12.0,12,2.515
3654,194,16.0,16,2.525
3690,195,36.0,36,2.55
3702,196,12.0,12,2.557
3715,197,13.0,13,2.565
3741,198,26.0,26,2.586
3753,199,12.0,12,2.595
3766,200,13.0,13,2.602
3792,201,26.0,26,2.618
3803,202,11.0,11,2.626
3815,203,12.0,12,2.633
3843,204,28.0,28,2.651
3856,205,13.0,13,2.661
3866,206,10.0,10,2.67
3875,207,9.0,9,2.677
3888,208,13.0,13,2.684
3918,209,30.0,30,2.704
3937,210,19.0,19,2.714
3948,211,11.0,11,2.72
3963,212,15.0,15,2.728
3993,213,30.0,30,2.751
4004,214,11.0,11,2.758
4015,215,11.0,11,2.765
4029,216,14.0,14,2.776
4045,217,16.0,16,2.787
4058,218,13.0,13,2.795
4068,219,10.0,10,2.802
4083,220,15.0,15,2.811
4093,221,10.0,10,2.82
4105,222,12.0,12,2.827
4119,223,14.0,14,2.835
4139,224,20.0,20,2.847
4149,225,10.0,10,2.856
4164,226,15.0,15,2.864
4183,227,19.0,19,2.874
4196,228,13.0,13,2.883
4206,229,10.0,10,2.892
4223,230,17.0,17,2.903
4235,231,12.0,12,2.91
4245,232,10.0,10,2.92
4254,233,9.0,9,2.927
4264,234,10.0,10,2.931
4275,235,11.0,11,2.941
4286,236,11.0,11,2.948
4299,237,13.0,13,2.955
4314,238,15.0,15,2.964
4327,239,13.0,13,2.971
4342,240,15.0,15,2.983
4352,241,10.0,10,2.989
4363,242,11.0,11,2.999
4378,243,15.0,15,3.01
4393,244,15.0,15,3.022
4419,245,26.0,26,3.038
4433,246,14.0,14,3.048
4444,247,11.0,11,3.053
4457,248,13.0,13,3.062
4469,249,12.0,12,3.069
4488,250,19.0,19,3.081
4497,251,9.0,9,3.09
4514,252,17.0,17,3.101
4533,253,19.0,19,3.113
4543,254,10.0,10,3.119
4559,255,16.0,16,3.131
4572,256,13.0,13,3.139
4588,257,16.0,16,3.149
4608,258,20.0,20,3.163
4636,259,28.0,28,3.182
4651,260,15.0,15,3.195
4663,261,12.0,12,3.203
4691,262,28.0,28,3.221
4706,263,15.0,15,3.23
4722,264,16.0,16,3.241
4733,265,11.0,11,3.248
4745,266,12.0,12,3.255
4770,267,25.0,25,3.269
4785,268,15.0,15,3.28
4799,269,14.0,14,3.291
